Index,Unnamed: 0,Unnamed: 0.1,City,Country,Cost.of.Living.Index,Rent.Index,Cost.of.Living.Plus.Rent.Index,Groceries.Index,Restaurant.Price.Index,Local.Purchasing.Power.Index,Milk(regular)(1 liter),Monthly.Pass,Apartment(1.bedroom).in.City.Centre,"Internet(10 Mbps, Unlimited Data, Cable/ADSL)",Cappuccino(regular),Water(0.33 liter bottle),Eggs(12),Water(1.5 liter bottle),Domestic Beer (0.5 liter bottle),One-way Ticket (Local Transport),"Basic (Electricity, Heating, Water, Garbage) for 85m2 Apartment","Cinema, International Release, 1 Seat",Apples (1kg),Continent,SubContinent,County,Region
2,2,2,Aberdeen,United Kingdom,82.12,33.49,59.22,62.94,97.71,124.41,1.3,78.64,871.27,29.95,3.58,1.18,2.76,1.83,2.15,3.41,307.68,13.11,2.79,Europe,Northern Europe,Aberdeenshire,Scotland
34,34,49,Bath,United Kingdom,82.73,41.54,63.33,82.7,76.56,130.75,1.47,62.91,993.89,26.89,3.05,1.36,4.85,1.18,2.16,2.88,144.17,12.45,4.59,Europe,Northern Europe,Avon,Crown Dependencies
38,38,53,Belfast,United Kingdom,62.65,23.6,44.26,57.26,70.79,109.29,1.18,66.84,725.53,25.99,3.16,1.14,2.38,1.11,1.82,2.62,88.67,7.86,3.05,Europe,Northern Europe,Belfast,Northern Ireland
48,48,65,Birmingham,United Kingdom,68.23,28.54,49.54,56.23,73.46,107.67,1.23,75.36,905.97,26.5,3.3,1.29,2.4,1.49,1.78,2.88,186.18,10.49,2.44,Europe,Northern Europe,West Midlands,West Midlands
54,54,74,Bournemouth,United Kingdom,75.59,33.68,55.85,69.91,74.62,93.27,1.06,72.08,791.84,27.83,3.18,1.28,2.85,1.09,1.64,3.15,176.12,11.8,2.29,Europe,Northern Europe,Dorset,South West England
61,61,81,Brighton,United Kingdom,78.89,43.23,62.1,66.8,89.47,87.14,1.2,90.43,1110.39,29.06,3.39,1.41,3.23,1.63,2.16,3.15,182.87,13.11,2.98,Europe,Northern Europe,East Sussex,South East England
63,63,83,Bristol,United Kingdom,74.34,37.61,57.04,64.49,83.44,98.9,1.0,86.5,1065.61,27.46,3.35,1.11,2.54,1.26,2.03,1.97,174.92,11.8,3.18,Europe,Northern Europe,Avon,Crown Dependencies
76,76,99,Cambridge,United Kingdom,75.12,43.75,60.35,61.83,85.1,125.5,1.21,70.77,1308.88,30.07,3.04,1.24,2.85,1.22,2.03,3.15,222.42,13.11,2.76,Europe,Northern Europe,Cambridgeshire,East of England
82,82,105,Cardiff,United Kingdom,67.14,25.7,47.63,57.9,73.25,125.08,1.1,62.91,793.4,26.98,3.27,0.94,2.2,1.31,2.06,2.36,142.28,7.86,1.97,Europe,Northern Europe,South Glamorgan,Crown Dependencies
104,104,138,Coventry,United Kingdom,66.0,30.74,49.4,52.67,69.83,110.98,0.92,65.53,884.67,27.17,3.04,0.74,2.38,0.92,1.77,2.62,234.24,10.49,2.24,Europe,Northern Europe,West Midlands,West Midlands
