,CostOfLiving,LocalPurchasingPower,Basics
Scotland,73.235,115.955,220.7
Crown Dependencies,74.87285714285714,108.48428571428573,173.95000000000002
Northern Ireland,62.65,109.29,88.67
West Midlands,67.11500000000001,109.325,210.21
South West England,70.52666666666666,103.73666666666666,170.93333333333337
South East England,73.90166666666666,101.09999999999998,205.84500000000003
East of England,74.27000000000001,113.02000000000001,196.32
East Midlands,68.8375,118.1825,174.76500000000001
Yorkshire and the Humber,66.285,110.95,134.73
North West England,69.93,108.41,200.43
,,,
